evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
93,10,3,b250d76875971747200f21b7b19769e4,0.23828,0.23766,e1,61,29,20.660538106852734
94,10,4,7eeb5fe85d61e57e8f1b798b71fde2d5,0.23856,0.23766,m1,42,30,21.219589262574857
95,10,5,6405322f3bbc0010cea3caf1e75469db,0.23857,0.23766,m1,35,31,21.783960429396902
96,10,6,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,31,21.662624040186458
97,10,7,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,31,21.494250887175994
98,10,8,1b40ff5304cc66a5851f5756ed30e57b,0.23894,0.23766,e1,5,31,21.74258823659962
99,10,9,9cf8d08ec3a5dae34dcac54591ac3da9,0.23904,0.23766,m2,52,31,21.875034905446885
100,10,10,bcfccba27da72a8a1edc880cbb968d3f,0.23908,0.23766,m2,68,31,21.833826237107417
101,11,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,31,21.67784476758702
102,11,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,31,21.50696230307643
103,11,3,b250d76875971747200f21b7b19769e4,0.23828,0.23766,e1,61,31,21.753753137040633
104,11,4,7eeb5fe85d61e57e8f1b798b71fde2d5,0.23856,0.23766,m1,42,31,22.00060229674394
105,11,5,6405322f3bbc0010cea3caf1e75469db,0.23857,0.23766,m1,35,31,22.247508207707604
106,11,6,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,31,22.12548035523848
107,11,7,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,31,21.964863310109028
108,11,8,1b40ff5304cc66a5851f5756ed30e57b,0.23894,0.23766,e1,5,31,22.10329004063573
109,11,9,3e0e2b9c88783384e966e5759aadd985,0.23897,0.23766,e1,19,32,22.63499806197056
110,11,10,9cf8d08ec3a5dae34dcac54591ac3da9,0.23904,0.23766,m2,52,32,22.70240302251867
111,12,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,32,22.545776515893323
112,12,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,32,22.376604779393585
113,12,3,b250d76875971747200f21b7b19769e4,0.23828,0.23766,e1,61,32,22.516725434514203
114,12,4,7eeb5fe85d61e57e8f1b798b71fde2d5,0.23856,0.23766,m1,42,32,22.657001036941974
115,12,5,6405322f3bbc0010cea3caf1e75469db,0.23857,0.23766,m1,35,32,22.797427152648382
116,12,6,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,32,22.674299032516373
117,12,7,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,32,22.51875525939177
118,12,8,1b40ff5304cc66a5851f5756ed30e57b,0.23894,0.23766,e1,5,32,22.595745413782733
119,12,9,3e0e2b9c88783384e966e5759aadd985,0.23897,0.23766,e1,19,32,22.83834857047839
120,12,10,43bcabc0badba725aac8ba19563a4f70,0.23904,0.23766,t2,22,33,23.34925351833923
121,13,1,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23766,t2,48,33,23.195205398995277
122,13,2,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23766,e2,50,33,23.03048048518062
123,13,3,b250d76875971747200f21b7b19769e4,0.23828,0.23766,e1,61,33,23.10962176739934
124,13,4,b9121f5179f8155b72f52ebb7ab2575b,0.2384,0.23766,m2,65,34,23.613760566013553
125,13,5,7eeb5fe85d61e57e8f1b798b71fde2d5,0.23856,0.23766,m1,42,34,23.691934638236322
126,13,6,d6bdb2980466a65d59962c76aca492e6,0.23857,0.23766,m2,77,35,24.198791237216792
127,13,7,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23766,e2,41,35,24.066336089248193
128,13,8,8376e4a7aaa9e6cfa21d93464b5f52eb,0.23883,0.23766,e2,43,35,23.905525628631786
129,13,9,1b40ff5304cc66a5851f5756ed30e57b,0.23894,0.23766,e1,5,35,23.93886920409777
130,13,10,3e0e2b9c88783384e966e5759aadd985,0.23897,0.23766,e1,19,35,24.08268083597542
131,14,1,01deeed1b239fee869f5e6fd6e1b8335,0.23662,0.23662,e1,1,36,24.582292415450002
132,14,2,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23662,t2,48,36,24.424786476365554
133,14,3,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23662,e2,50,36,24.257970145456202
134,14,4,b250d76875971747200f21b7b19769e4,0.23828,0.23662,e1,61,36,24.294808978555665
135,14,5,b9121f5179f8155b72f52ebb7ab2575b,0.2384,0.23662,m2,65,36,24.534432911694793
136,14,6,5b053a0424d02453ff5de8efb2ec6b5f,0.2385,0.23662,m2,31,37,25.028017015695013
137,14,7,7eeb5fe85d61e57e8f1b798b71fde2d5,0.23856,0.23662,m1,42,37,25.063540769328462
138,14,8,d6bdb2980466a65d59962c76aca492e6,0.23857,0.23662,m2,77,37,25.303679842729483
139,14,9,9a811debc9a9ecbd4c1d12f153744340,0.23858,0.23662,m2,49,38,25.799979730604328
140,14,10,7cd16ea05d7e0ee7e32074578452ce9b,0.23872,0.23662,e2,41,38,25.661339038211352
141,15,1,01deeed1b239fee869f5e6fd6e1b8335,0.23662,0.23662,e1,1,38,25.901584957194576
142,15,2,2767807a8c3606c03a9eba4f56bc6f57,0.2372,0.23662,cu,12,39,26.39841884525926
143,15,3,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23662,t2,48,39,26.229783731145183
144,15,4,9c1a6956365d0528f2f9003e4327574d,0.23783,0.23662,e2,50,39,26.052874244253815
145,15,5,b250d76875971747200f21b7b19769e4,0.23828,0.23662,e1,61,39,26.05463191327896
146,15,6,b9121f5179f8155b72f52ebb7ab2575b,0.2384,0.23662,m2,65,39,26.199661552274485
147,15,7,5b053a0424d02453ff5de8efb2ec6b5f,0.2385,0.23662,m2,31,39,26.43867783102968
148,15,8,62a8597ac29f71aaa969a120547ac75d,0.23854,0.23662,e2,34,40,26.928888092366197
149,15,9,7eeb5fe85d61e57e8f1b798b71fde2d5,0.23856,0.23662,m1,42,40,26.92961395287312
150,15,10,d6bdb2980466a65d59962c76aca492e6,0.23857,0.23662,m2,77,40,27.07443905624261
151,16,1,884cae278785b95256ca82e7ef68bd27,0.23251,0.23251,e2,44,41,27.565711544992887
152,16,2,fef53dceaaffe53407c92fa0a64551ee,0.23514,0.23251,m2,87,42,28.060480879216907
153,16,3,01deeed1b239fee869f5e6fd6e1b8335,0.23662,0.23251,e1,1,42,28.20450017727678
154,16,4,6053da9562439ededef630328e14009e,0.23702,0.23251,e1,33,43,28.702277160577285
155,16,5,2767807a8c3606c03a9eba4f56bc6f57,0.2372,0.23251,cu,12,43,28.943443417843316
156,16,6,9399f5bfe21ff32ce9771ad0885bcd8b,0.23766,0.23251,t2,48,43,28.759856901425103
157,16,7,73e937563390d893c4bf03abf15fcb0d,0.23769,0.23251,e2,39,44,29.257626146509114
