evaluation_step,generation,candidate_index,unique_id,objective,best_so_far,operator,basin_id,cumulative_unique_basins,effective_basins
84,9,4,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,23,17.23935692370006
85,9,5,3648e67b2a326030bfa08846bd0c5703,0.06382,0.05744,m2,9,23,17.485132011602865
86,9,6,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,23,17.37319478874203
87,9,7,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,23,17.266830634251388
88,9,8,4fd6f34f19fd6286c89efb9141c3f8c0,0.06547,0.05744,m1,12,23,17.29055621587394
89,9,9,8e07de8adaa21cbb03ce662a939e179b,0.0657,0.05744,e2,24,23,17.53443327430628
90,9,10,81100c0d9624a6755941356c00b875f7,0.06581,0.05744,e1,21,23,17.55939955746221
91,10,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,23,17.514870895144867
92,10,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,23,17.422551789747633
93,10,3,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05744,m1,25,24,17.9298887845216
94,10,4,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,24,17.837046916939123
95,10,5,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,24,17.72782339801332
96,10,6,3648e67b2a326030bfa08846bd0c5703,0.06382,0.05744,m2,9,24,17.871414337241173
97,10,7,c0cde56cb5577369f62f6b9d590f6548,0.06471,0.05744,e1,34,25,18.373265721585792
98,10,8,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,25,18.26449704788638
99,10,9,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,25,18.16042202801893
100,10,10,4fd6f34f19fd6286c89efb9141c3f8c0,0.06547,0.05744,m1,12,25,18.159975572235492
101,11,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,25,18.10553646272429
102,11,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,25,18.012233713663836
103,11,3,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05744,m1,25,25,18.250315632745135
104,11,4,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,25,18.160087270532323
105,11,5,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,25,18.056432426067936
106,11,6,3648e67b2a326030bfa08846bd0c5703,0.06382,0.05744,m2,9,25,18.144520892968853
107,11,7,c0cde56cb5577369f62f6b9d590f6548,0.06471,0.05744,e1,34,25,18.380647408429727
108,11,8,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,25,18.2813872004092
109,11,9,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,25,18.18601447540177
110,11,10,4fd6f34f19fd6286c89efb9141c3f8c0,0.06547,0.05744,m1,12,25,18.173528936400555
111,12,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,25,18.118854528984176
112,12,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,25,18.032683480406746
113,12,3,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05744,m1,25,25,18.18029406028414
114,12,4,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,25,18.097628952110277
115,12,5,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,25,18.003884349966327
116,12,6,3648e67b2a326030bfa08846bd0c5703,0.06382,0.05744,m2,9,25,18.059326480936896
117,12,7,c0cde56cb5577369f62f6b9d590f6548,0.06471,0.05744,e1,34,25,18.207287780565398
118,12,8,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,25,18.118410299940024
119,12,9,4e59c53ad79003e8bf90f7b4365de57d,0.06524,0.05744,t2,11,26,18.561940651568516
120,12,10,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,26,18.47246698898974
121,13,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,26,18.41523558097258
122,13,2,f511394536b52f8d7e1515ab6f4f8848,0.06234,0.05744,m2,40,26,18.331606734637013
123,13,3,951ee4d2511ba3d1a90fecfc4318f164,0.0624,0.05744,m1,25,26,18.428758619229242
124,13,4,5d391ba90dd5a3d0ce60354355287e79,0.06362,0.05744,e2,15,26,18.348722377578028
125,13,5,3e1442c5ec949d3636fc0a9dbf664b00,0.06364,0.05744,i1,10,26,18.259293745352196
126,13,6,3648e67b2a326030bfa08846bd0c5703,0.06382,0.05744,m2,9,26,18.29182156974695
127,13,7,c0cde56cb5577369f62f6b9d590f6548,0.06471,0.05744,e1,34,26,18.390668376050645
128,13,8,87b64ed27692b246c32c736775795b94,0.0652,0.05744,m2,23,26,18.306209595375524
129,13,9,4e59c53ad79003e8bf90f7b4365de57d,0.06524,0.05744,t2,11,26,18.52927452162232
130,13,10,9e085db9753677f56c5d00fc81e5661c,0.06536,0.05744,i1,27,26,18.44662849000679
131,14,1,ae47d13c3bb606577e8770708011d901,0.05744,0.05744,e1,29,26,18.391159834354493
