method,stage,start_step,end_step,n_nodes,feature,mean,std
CI(l=3),Stage 1,1,299,299,core_pct,0.713984763655515,0.13649665697355312
CI(l=3),Stage 1,1,299,299,betweenness_pct,0.7578745154079854,0.17098384651618626
CI(l=3),Stage 1,1,299,299,clustering_pct,0.34405334174206004,0.21566992195373316
CI(l=3),Stage 1,1,299,299,eigenvector_pct,0.599314107316375,0.22310986360632604
CI(l=3),Stage 1,1,299,299,unvisited_neighbor_ratio,0.835787343817491,0.12441173599446786
CI(l=3),Stage 2,300,598,299,degree_pct,0.7796181185697559,0.16915116150169696
CI(l=3),Stage 2,300,598,299,core_pct,0.7562620973287757,0.19017147659259298
CI(l=3),Stage 2,300,598,299,betweenness_pct,0.7541319611006935,0.1940076450255377
CI(l=3),Stage 2,300,598,299,clustering_pct,0.28196015023889953,0.2035632910141386
CI(l=3),Stage 2,300,598,299,eigenvector_pct,0.7088131730755255,0.24255320991982088
CI(l=3),Stage 2,300,598,299,unvisited_neighbor_ratio,0.7055703168922726,0.13976793627075101
CI(l=3),Stage 3,599,1196,598,degree_pct,0.7674852875236635,0.1556359280797412
CI(l=3),Stage 3,599,1196,598,core_pct,0.7807058298641745,0.17344020758314696
CI(l=3),Stage 3,599,1196,598,betweenness_pct,0.754005047472406,0.16735580167171515
CI(l=3),Stage 3,599,1196,598,clustering_pct,0.30452198289405563,0.1692825372261512
CI(l=3),Stage 3,599,1196,598,eigenvector_pct,0.7925286450209045,0.16397585478956783
CI(l=3),Stage 3,599,1196,598,unvisited_neighbor_ratio,0.38272280895486077,0.14240705994228148
CI(l=3),Stage 4,1197,1795,599,degree_pct,0.42583231050971493,0.1745127234889471
CI(l=3),Stage 4,1197,1795,599,core_pct,0.43818740584580673,0.19844982537858566
CI(l=3),Stage 4,1197,1795,599,betweenness_pct,0.4394248410227901,0.19045793236497635
CI(l=3),Stage 4,1197,1795,599,clustering_pct,0.539228704477372,0.22713766283206446
CI(l=3),Stage 4,1197,1795,599,eigenvector_pct,0.4449034359617528,0.22211935372203356
CI(l=3),Stage 4,1197,1795,599,unvisited_neighbor_ratio,0.19537309345484474,0.13399321085875995
CI(l=3),Stage 5,1796,2992,1197,degree_pct,0.2583816612745505,0.17744817398347398
CI(l=3),Stage 5,1796,2992,1197,core_pct,0.27323295422329363,0.19790823608774125
CI(l=3),Stage 5,1796,2992,1197,betweenness_pct,0.2755217755745655,0.20556224894668076
CI(l=3),Stage 5,1796,2992,1197,clustering_pct,0.6714451346241453,0.2812015610467036
CI(l=3),Stage 5,1796,2992,1197,eigenvector_pct,0.3044617003335263,0.21754313276004894
CI(l=3),Stage 5,1796,2992,1197,unvisited_neighbor_ratio,0.06521144129137903,0.1220606451198246
